NAME,novehicle,onevehicle,twovehicle,threevehicle,medianincome
"Census Tract 4407, Cook County, Illinois",104,354,124,31,80208
"Census Tract 4408, Cook County, Illinois",224,323,125,3,31538
"Census Tract 4409, Cook County, Illinois",233,498,146,85,69662
"Census Tract 4503, Cook County, Illinois",260,881,222,112,61662
"Census Tract 4601, Cook County, Illinois",457,269,157,106,41971
"Census Tract 4602, Cook County, Illinois",385,331,143,66,31989
"Census Tract 4603.01, Cook County, Illinois",317,391,379,63,40240
"Census Tract 4603.02, Cook County, Illinois",308,533,243,64,44239
"Census Tract 4604, Cook County, Illinois",277,483,328,105,55313
"Census Tract 4605, Cook County, Illinois",771,1094,732,80,94426
"Census Tract 4608, Cook County, Illinois",389,585,283,40,29434
"Census Tract 4610, Cook County, Illinois",463,139,88,0,53194
"Census Tract 4701, Cook County, Illinois",302,250,377,63,74148
"Census Tract 4801, Cook County, Illinois",167,417,218,136,83083
"Census Tract 4802, Cook County, Illinois",160,264,99,15,60724
"Census Tract 4803, Cook County, Illinois",172,211,115,32,57700
"Census Tract 4804, Cook County, Illinois",210,1070,773,202,142974
"Census Tract 4805, Cook County, Illinois",331,468,318,78,82500
"Census Tract 4902, Cook County, Illinois",250,700,329,98,68750
"Census Tract 4905, Cook County, Illinois",99,389,162,63,66728
"Census Tract 4906, Cook County, Illinois",61,219,165,128,43821
"Census Tract 4907, Cook County, Illinois",136,443,270,74,57598
"Census Tract 4908, Cook County, Illinois",232,459,466,105,47378
"Census Tract 4909.01, Cook County, Illinois",503,465,172,97,42708
"Census Tract 4909.02, Cook County, Illinois",374,666,498,191,75590
"Census Tract 4910, Cook County, Illinois",492,301,171,82,46107
"Census Tract 4911, Cook County, Illinois",221,576,382,146,67659
"Census Tract 4912, Cook County, Illinois",84,248,250,92,51875
"Census Tract 4913, Cook County, Illinois",199,262,80,106,37692
"Census Tract 4914, Cook County, Illinois",454,474,144,49,36250
"Census Tract 5001, Cook County, Illinois",131,885,576,68,67452
"Census Tract 5002, Cook County, Illinois",243,388,74,81,34409
"Census Tract 5003, Cook County, Illinois",172,447,167,85,49116
"Census Tract 501, Cook County, Illinois",223,522,297,85,187292
"Census Tract 502, Cook County, Illinois",299,916,702,109,181875
"Census Tract 503, Cook County, Illinois",74,461,444,67,171731
"Census Tract 505, Cook County, Illinois",297,1022,708,92,213214
"Census Tract 506, Cook County, Illinois",170,647,243,33,224643
"Census Tract 507, Cook County, Illinois",72,406,202,14,195417
"Census Tract 508, Cook County, Illinois",108,248,144,31,210469
"Census Tract 509, Cook County, Illinois",108,209,224,64,165104
"Census Tract 510, Cook County, Illinois",68,381,248,18,169712
"Census Tract 5101, Cook County, Illinois",268,410,298,204,42143
"Census Tract 5102, Cook County, Illinois",345,407,378,125,51875
"Census Tract 5103, Cook County, Illinois",312,977,427,135,27003
"Census Tract 511, Cook County, Illinois",79,405,216,14,179167
"Census Tract 512, Cook County, Illinois",78,403,150,4,176458
"Census Tract 513, Cook County, Illinois",30,428,523,73,209022
"Census Tract 514, Cook County, Illinois",145,460,265,19,188141
"Census Tract 5201, Cook County, Illinois",62,139,172,121,55536
"Census Tract 5202, Cook County, Illinois",251,435,258,92,44784
"Census Tract 5203, Cook County, Illinois",263,586,749,249,46250
"Census Tract 5204, Cook County, Illinois",102,612,451,193,44402
"Census Tract 5205, Cook County, Illinois",51,485,630,305,67361
"Census Tract 5206, Cook County, Illinois",13,295,338,129,79554
"Census Tract 5301, Cook County, Illinois",295,213,163,146,37230
"Census Tract 5302, Cook County, Illinois",320,598,270,116,52042
